,R_2,std_R_2,Q_2,std_Q_2
IJN1463_10_UB,0.7901427999580226,0.0031529423113316,0.7724305228024705,0.0193717550607077
e_coli_core_EB,0.9426226065204654,0.0025177525181606,0.9418567652512818,0.0052880561048235
IJN1463_EXP_UB,0.8053333530219039,0.0552861708545409,-0.4943900664262504,0.2954332454824007
biolog_iML1515_EXP_UB,0.687666226957612,0.0159006070108986,0.676391114865615,0.0156946357998246
e_coli_core_UB,0.986137618121048,0.0019057641826368,0.9857623143680028,0.0008745863566862
e_coli_core_UB_100,0.9595338373402732,0.0056527453404333,0.9507258636286784,0.0269893777271908
iML1515_EXP_2_UB,0.5020030699729922,0.2394468687827216,0.3196495307971966,0.4350557934456327
biolog_iML1515_medium_UB,0.5562234402404858,0.0168765359612315,0.5471134296580501,0.0249650843020651
iML1515_UB,0.9992796606165614,0.000167407701745,0.9992751889432708,0.0008209722327546
iML1515_EXP_UB,0.8284787047217691,0.0210717039626687,0.7672989112343258,0.0958162540622687
