,R_2,std_R_2,Q_2,std_Q_2
IJN1463_10_UB,0.792072111158571,0.002637426448431,0.7746529824101569,0.0106407684865529
e_coli_core_EB,0.9979175911359182,0.0004643410131385,0.9978596291248624,0.0004472750531151
IJN1463_EXP_UB,0.8314357046355016,0.0251904360149629,-0.4016801529436319,0.2844027936931414
biolog_iML1515_EXP_UB,0.689661931642698,0.0046971200154531,0.6795997683496381,0.014381191820424
e_coli_core_UB,0.9892556021401672,0.0005773394178809,0.988753038873407,0.0005694260684683
e_coli_core_UB_100,0.9872816615702068,0.0020536749256133,0.9801944417446654,0.0094935255284449
iML1515_EXP_2_UB,0.7839031950000952,0.078924555597981,0.6997998924443337,0.2267192322597573
biolog_iML1515_medium_UB,0.5648495310701689,0.0043956221393533,0.5563750662370719,0.018488457888069
iML1515_UB,0.9993847343664808,0.0001713183744928,0.9993896681003684,0.0007940834713054
iML1515_EXP_UB,0.825221086523206,0.0269429190837244,0.7590703845337357,0.0728423875839249
